MooreRank,Team,W,L,T,MooreSOS,MoorePR,Season,TeamID
298,BRADLEY,5,27,0,66.65,53.23,2016,1133
195,BRADLEY,13,20,0,63.46,58.45,2017,1133
140,BRADLEY,20,13,0,64.1,66.56,2018,1133
275,BROWN,11,20,0,63.82,57.87,2010,1135
246,BROWN,11,17,0,62.1,60.53,2011,1135
296,BROWN,8,23,0,63.87,55.75,2012,1135
198,BROWN,13,15,0,65.42,64.34,2013,1135
167,BROWN,15,14,0,62.41,66.13,2014,1135
227,BROWN,13,18,0,63.72,60.44,2015,1135
227,BROWN,8,20,0,63.26,59.07,2016,1135
263,BROWN,13,17,0,57.08,53.67,2017,1135
214,BROWN,11,16,0,63.1,61.33,2018,1135
344,BRYANT,1,29,0,62.73,45.07,2010,1136
314,BRYANT,9,21,0,63.21,53.34,2011,1136
331,BRYANT,2,28,0,63.87,49.09,2012,1136
191,BRYANT,19,12,0,62.84,64.91,2013,1136
225,BRYANT,18,14,0,62.91,61.48,2014,1136
232,BRYANT,16,15,0,61.53,60.02,2015,1136
334,BRYANT,8,23,0,60.63,48.14,2016,1136
246,BRYANT,12,20,0,59.66,54.86,2017,1136
329,BRYANT,3,28,0,63.27,51.55,2018,1136
218,BUCKNELL,14,17,0,62.51,63.1,2010,1137
123,BUCKNELL,25,9,0,64.5,70.75,2011,1137
105,BUCKNELL,25,10,0,65.31,72.9,2012,1137
91,BUCKNELL,28,6,0,65.47,72.91,2013,1137
160,BUCKNELL,16,14,0,64.79,66.68,2014,1137
177,BUCKNELL,19,15,0,64.28,64.4,2015,1137
141,BUCKNELL,17,14,0,61.54,65.78,2016,1137
71,BUCKNELL,26,9,0,62.08,70.42,2017,1137
67,BUCKNELL,25,10,0,66.15,74.31,2018,1137
167,BUFFALO,18,12,0,67.75,68,2010,1138
143,BUFFALO,20,14,0,65.76,68.84,2011,1138
118,BUFFALO,19,11,0,68.84,71.6,2012,1138
145,BUFFALO,14,20,0,67.66,67.64,2013,1138
104,BUFFALO,19,10,0,64.29,71.35,2014,1138
69,BUFFALO,23,10,0,66.05,73.59,2015,1138
112,BUFFALO,20,15,0,65.86,69.03,2016,1138
134,BUFFALO,17,15,0,61.76,63.29,2017,1138
72,BUFFALO,27,9,0,65.25,73.39,2018,1138
10,BUTLER,33,5,0,74.7,87.24,2010,1139
28,BUTLER,28,10,0,72.92,83.19,2011,1139
88,BUTLER,22,15,0,69.77,74.03,2012,1139
42,BUTLER,27,9,0,74.35,79.27,2013,1139
64,BUTLER,14,17,0,74.21,75.63,2014,1139
21,BUTLER,23,11,0,73.07,80.56,2015,1139
28,BUTLER,22,11,0,72.21,80.35,2016,1139
22,BUTLER,25,9,0,73.26,79.7,2017,1139
19,BUTLER,21,14,0,75.49,81.27,2018,1139
18,BYU,30,6,0,70.15,86.18,2010,1140
18,BYU,32,5,0,72.49,85.6,2011,1140
55,BYU,26,9,0,68.88,77.72,2012,1140
52,BYU,24,12,0,70.81,77.74,2013,1140
56,BYU,23,12,0,71.96,76.74,2014,1140
31,BYU,25,10,0,69.54,78.53,2015,1140
36,BYU,26,11,0,66.16,79.2,2016,1140
85,BYU,22,12,0,64.59,68.55,2017,1140
87,BYU,24,11,0,66.55,72.3,2018,1140
256,CAL POLY,12,19,0,64.68,59.61,2010,1142
198,CAL POLY,15,15,0,64.03,65.24,2011,1142
190,CAL POLY,18,15,0,62.19,64.84,2012,1142
189,CAL POLY,18,14,0,65.11,65.01,2013,1142
209,CAL POLY,14,20,0,65.92,62.66,2014,1142
183,CAL POLY,13,16,0,66.45,64.09,2015,1142
239,CAL POLY,10,20,0,63.51,57.92,2016,1142
280,CAL POLY,11,20,0,57.92,52.33,2017,1142
315,CAL POLY,9,22,0,60.92,53.55,2018,1142
284,CAL STATE BAKERSFIELD,7,22,0,66.4,56.74,2010,1167
334,CAL STATE BAKERSFIELD,9,19,0,63.07,48.93,2011,1167
274,CAL STATE BAKERSFIELD,16,15,0,60.12,58.52,2012,1167
243,CAL STATE BAKERSFIELD,14,16,0,62.11,60.57,2013,1167
266,CAL STATE BAKERSFIELD,13,19,0,60.61,58.4,2014,1167
274,CAL STATE BAKERSFIELD,14,19,0,55.49,57.21,2015,1167
